,RRO,RRS,TampilanO,TampilanS,MenuO,MenuS,PackagingO,PackagingS,WifiO,WifiS,PembayaranO,PembayaranS,PelayananO,PelayananS
0,3,5,4,4,4,4,4,4,4,4,4,4,4,4
1,3,3,4,3,4,3,4,3,3,3,4,4,4,4
2,5,5,5,3,5,4,5,4,5,2,5,5,5,4
3,4,4,4,4,4,3,3,3,3,3,3,4,4,4
4,5,2,4,1,4,1,4,1,4,2,3,3,5,2
5,4,4,4,3,4,4,4,4,4,4,4,4,4,4
6,3,3,4,4,4,4,4,4,4,4,4,4,4,4
7,3,4,4,3,4,2,4,3,4,2,4,4,4,3
8,3,3,4,3,4,3,4,4,3,3,4,4,4,4
9,3,3,4,3,4,4,4,4,3,3,4,4,4,4
10,5,5,4,4,5,3,5,3,3,3,4,4,5,4
11,4,4,4,4,4,3,4,3,4,2,4,4,4,4
12,3,5,5,3,5,3,4,4,4,3,5,5,5,4
13,3,3,5,2,4,2,4,1,4,1,4,4,4,4
14,4,4,4,4,4,4,4,4,4,4,4,4,4,4
15,4,4,1,3,1,3,1,5,4,5,4,5,4,5
16,3,3,4,4,4,4,4,4,4,4,4,4,4,4
17,3,3,4,3,4,2,5,4,3,3,5,4,4,4
18,4,1,4,3,4,3,4,2,2,2,2,2,4,3
19,2,5,5,2,5,2,4,4,4,3,3,3,4,3
20,3,4,4,3,4,3,4,4,4,3,4,4,4,4
21,4,4,4,4,4,2,4,3,4,2,5,5,3,4
22,3,3,4,4,4,4,4,4,3,3,4,4,4,4
23,3,3,4,3,4,2,3,2,3,2,4,4,4,4
24,4,5,4,3,4,4,4,4,4,3,4,4,4,4
25,3,3,4,3,4,3,4,3,4,3,4,4,4,4
26,3,3,2,2,2,2,4,4,4,3,4,4,4,4
27,3,3,3,3,4,3,5,4,3,3,4,4,4,3
28,2,2,4,3,4,2,4,2,2,2,2,2,4,3
29,2,3,4,3,4,3,4,3,4,2,4,3,5,4
30,4,4,4,3,4,2,4,2,4,2,4,4,4,4
31,5,4,5,4,5,4,4,4,5,2,5,3,4,3
32,2,2,4,2,4,2,4,3,4,1,4,4,4,4
33,4,4,5,4,5,3,4,3,4,4,4,4,5,3
34,4,4,5,4,5,4,5,4,5,2,5,4,5,3
35,5,4,4,4,4,4,5,3,4,2,4,3,4,3
36,4,4,5,4,5,5,5,4,5,4,5,3,5,4
37,4,3,4,4,4,3,4,2,4,2,4,3,4,4
38,3,5,4,4,3,3,3,3,3,3,4,4,4,4
39,3,3,4,4,4,3,5,4,4,3,5,5,4,4
40,3,3,3,3,3,4,3,4,3,3,3,4,3,4
41,3,3,3,3,3,3,3,3,3,3,3,3,3,3
42,3,4,4,4,4,3,4,4,4,3,4,4,4,4
43,4,4,4,3,4,2,4,4,4,2,4,4,4,4
44,2,3,3,4,3,4,3,4,3,3,3,4,3,4
45,3,4,4,3,3,3,3,3,3,2,3,4,3,4
46,2,1,3,2,3,3,3,3,2,2,3,3,2,2
47,3,4,4,4,4,4,4,4,2,2,4,4,4,4
48,5,3,4,3,4,2,4,2,4,2,4,3,4,4
49,4,4,4,3,4,3,4,3,3,3,4,4,5,4
50,1,3,5,3,5,3,4,4,3,3,5,4,4,4
51,4,4,5,3,5,4,5,4,4,4,4,4,4,4
52,5,4,4,3,4,3,4,3,3,3,4,4,4,4
53,4,4,4,4,4,4,4,3,4,2,5,4,5,3
54,4,3,4,4,4,4,4,4,4,2,4,3,4,4
55,5,4,4,4,4,3,4,3,3,3,4,4,4,4
56,4,4,4,3,4,3,4,3,4,2,4,4,4,4
57,4,3,4,4,4,4,4,4,4,4,4,4,4,4
58,5,4,4,3,4,3,4,3,4,3,4,4,5,4
59,4,4,4,3,4,3,4,3,4,2,4,3,4,4
